"","Soil.Order","Great.Group","Subgroup","Series","Horizon","Qmax.mg.kg","k.L.mg","Clay.per","Fed.g.kg","pH","OC.mg.kg","X","Database","County..State","Latitude","Longitude","Dataset","Alo.g.kg","Ald.g.kg","Alp.g.kg","Feo.g.kg","Fep.g.kg","Caex.cmol.kg","Silt.per","Sand.per","MAT.C","MAP.mm","Elevation.m","Replicate","Depth.cm","BD.g.cm3","L.kg","Source.qmax","Source.k"
"178","Mollisol","Argiustolls",NA,"Longford","2Bk2",1426,0.015,39,4.4,7.7,1708,47,"NRCS","Washington, KS",39.7811928,-97.0597763,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"179","Mollisol","Argiustolls",NA,"Longford","2C",1679,0.013,29.3,3.9,7.8,1645,47,"NRCS","Washington, KS",39.7811928,-97.0597763,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"180","Mollisol","Argiustolls",NA,"Longford",NA,472.98864795733,0.0812442502571309,36,6.7,6.6,NA,47,"NRCS","Washington, KS",39.7811928,-97.0597763,"Jagadamma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Fitted","Fitted"
"181","Ultisol","Hapludults",NA,"Luverne","Bt1",2789,0.034,51.5,28,4,1890,20,"CSiTE","Wilcox, AL",31.8724995,-87.2447205,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"182","Ultisol","Hapludults",NA,"Luverne","Bt2",2447,0.068,45.9,21,3.9,2414,20,"CSiTE","Wilcox, AL",31.8724995,-87.2447205,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"183","Ultisol","Hapludults",NA,"Luverne","Bt3",2276,0.091,40.1,21,3.8,212,20,"CSiTE","Wilcox, AL",31.8724995,-87.2447205,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"184","Ultisol","Hapludults",NA,"Luverne","Bt4",1877,0.087,33.8,21,3.7,1824,20,"CSiTE","Wilcox, AL",31.8724995,-87.2447205,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"185","Alfisol",NA,NA,NA,"Ae",188,0.0405,28.6714,2.74,4.714,4530.07,NA,NA,NA,53.63,-106.2,"Kothawala",0.4576,0.332,0.323,0.792,0.525,2.78443,19.31421,52.0144,0.4,467,"600","1",NA,NA,10,"Reported","Reported"
"186","Alfisol",NA,NA,NA,"Bt",552,0.0194,NA,5.385,4.907,4038.76,NA,NA,NA,53.63,-106.2,"Kothawala",0.8204,0.6,0.468,1.176,0.987,7.55568,NA,NA,0.4,467,"600","1",NA,NA,10,"Reported","Reported"
"187","Alfisol",NA,NA,NA,"Bt",508,0.0358,32.24131,6.61,5.331,3443.2,NA,NA,NA,53.63,-106.2,"Kothawala",0.826,1.0705,0.33533,1.41333,0.937,8.03407,19.26688,48.49181,0.4,467,"600","1",NA,NA,10,"Reported","Reported"
"188","Alfisol","Hapludalfs",NA,"Malmo","Bt1",4724,0.012,36.9,12,5.4,3868,44,"NRCS","Lancaster, NB",40.8690262,-96.7943573,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"189","Alfisol","Hapludalfs",NA,"Malmo","Bt2",2098,0.028,37.2,11,6,3240,44,"NRCS","Lancaster, NB",40.8690262,-96.7943573,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"190","Alfisol","Hapludalfs",NA,"Malmo","Bt3",2924,0.028,36.2,9,6.2,2511,44,"NRCS","Lancaster, NB",40.8690262,-96.7943573,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"191","Alfisol","Hapludalfs",NA,"Malmo","Bt4",2207,0.024,30.4,1,6.3,1842,44,"NRCS","Lancaster, NB",40.8690262,-96.7943573,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"192","Alfisol","Hapludalfs",NA,"Malmo","BCg",1483,0.022,26.5,4,6.3,1715,44,"NRCS","Lancaster, NB",40.8690262,-96.7943573,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"193","Alfisol","Hapludalfs",NA,"Malmo","C",1487,0.018,13.3,3,6.3,1635,44,"NRCS","Lancaster, NB",40.8690262,-96.7943573,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"194","Alfisol","Hapludalfs",NA,"Malmo","Cg",1570,0.018,30.3,3.3,6.5,1674,44,"NRCS","Lancaster, NB",40.8690262,-96.7943573,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"195","Alfisol","Hapludalfs",NA,"Malmo",NA,493.6,0.0526,37,11,6,NA,44,"NRCS","Lancaster, NB",40.8690262,-96.7943573,"Jagadamma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"196","Inceptisol","Endoaquepts",NA,"Mantachie","Bg",629,0.081,9.4,4,3.9,2108,11,NA,NA,32.1569443,-95.2555542,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"197","Inceptisol","Endoaquepts",NA,"Mantachie","Bg2-4",1310,0.065,24.4,23.3,3.7,2255,11,NA,NA,32.1569443,-95.2555542,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"198","Alfisol","Glossudalfs",NA,"Marlette","B/E",726,0.011,10.2,4.3,7,2168,49,"CSiTE","Gratiot, MI",43.3,-84.6,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"199","Alfisol","Glossudalfs",NA,"Marlette","Bt",829,0.039,22.5,3.2,5,2195,49,"CSiTE","Gratiot, MI",43.3,-84.6,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"200","Alfisol","Glossudalfs",NA,"Marlette","BC",2989,0.014,16.6,2.7,7,2364,49,"CSiTE","Gratiot, MI",43.3,-84.6,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"201","Alfisol","Glossudalfs",NA,"Marlette","C",580,0.027,12.4,3.1,7.7,2048,49,"CSiTE","Gratiot, MI",43.3,-84.6,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"202","Mollisol","Endoaquolls",NA,"Marshan","Bg",920,0.031,16.6,12,6.8,2731,24,"NRCS","Buchanan, IA",42.5419426,-92.0116653,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"203","Mollisol","Endoaquolls",NA,"Marshan","BC",1480,0.01,9.5,8,6.7,1819,24,"NRCS","Buchanan, IA",42.5419426,-92.0116653,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"204","Alfisol","Hapludalfs",NA,"Memphis","Bt1",405,0.022,27.5,14.5,4.8,3541,17,"CSiTE","Gibson, TN",36.0005569,-89.1744461,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"205","Alfisol","Hapludalfs",NA,"Memphis","Bt2",1322,0.094,23.7,16,4.6,2548,17,"CSiTE","Gibson, TN",36.0005569,-89.1744461,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"206",NA,NA,NA,NA,"Ah",855,0.0046,8.96906,0.572,6.603,72545.89,NA,NA,NA,NA,NA,"Kothawala",2.6756,0.81,2.152,0.768,0.792,29.8347,68.62834,22.40261,NA,NA,NA,"1",NA,NA,10,"Reported","Reported"
"207",NA,NA,NA,NA,"Ah",855,0.0046,8.96906,0.572,6.603,72545.89,NA,NA,NA,NA,NA,"Kothawala",2.6756,0.81,2.152,0.768,0.792,29.8347,68.62834,22.40261,NA,NA,NA,"3",NA,NA,10,"Reported","Reported"
"208",NA,NA,NA,NA,"Ah",3385.08958704851,NA,11.85288,0.475,6.983,22140.36,NA,NA,NA,NA,NA,"Kothawala",0.7136,0.3825,0.554,0.3336,0.167,14.74132,46.61593,41.53119,NA,NA,NA,"3",NA,NA,10,"Fitted","Fitted"
"209",NA,NA,NA,NA,"Bgf",377,0.0973,10.27384,12.61,7.211,14574.19,NA,NA,NA,NA,NA,"Kothawala",0.4796,6.46,0.235,1.616,0.222,9.03875,54.54727,35.17889,NA,NA,NA,"1",NA,NA,10,"Reported","Reported"
"210",NA,NA,NA,NA,"Bgf",377,0.0973,10.27384,12.61,7.211,14574.19,NA,NA,NA,NA,NA,"Kothawala",0.4796,6.46,0.235,1.616,0.222,9.03875,54.54727,35.17889,NA,NA,NA,"2",NA,NA,10,"Reported","Reported"
"211",NA,NA,NA,NA,"Bgf",377,0.0973,10.27384,12.61,7.211,14574.19,NA,NA,NA,NA,NA,"Kothawala",0.4796,6.46,0.235,1.616,0.222,9.03875,54.54727,35.17889,NA,NA,NA,"3",NA,NA,10,"Reported","Reported"
"212","Mollisol","Haplustolls",NA,"Muir","2Bwb3",542,0.009,21.7,5.4,7.3,3891,27,"NRCS","Republic, KS",39.8996925,-97.8147202,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"213","Alfisol","Glossudalfs",NA,"Nester","B",385,0.03,26.5,8,5.7,1822,50,"CSiTE","Iosco, MI",44.4,-83.6,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"214","Alfisol","Glossudalfs",NA,"Nester","Bt",883,0.057,38.8,10,6.7,2284,50,"CSiTE","Iosco, MI",44.4,-83.6,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"215","Alfisol","Glossudalfs",NA,"Nester","C1",823,0.073,34.1,5,7.6,987,50,"CSiTE","Iosco, MI",44.4,-83.6,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"216","Alfisol","Glossudalfs",NA,"Nester","C2",761,0.084,33,5,7.7,6001,50,"CSiTE","Iosco, MI",44.4,-83.6,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"217","Alfisol",NA,NA,"Norfolk","Bt",3166,0.147,42.2,20.4,6.5,2255,68,"CSiTE","Gratiot, MI",43.3,-84.6,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"218","Ultisol","Kandiudults",NA,"Orangeburg","Bt1",1209,0.055,17.7,11,4.6,2237,14,NA,NA,33.1130562,-82.4283371,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
