"","Soil.Order","Great.Group","Subgroup","Series","Horizon","Qmax.mg.kg","k.L.mg","Clay.per","Fed.g.kg","pH","OC.mg.kg","X","Database","County..State","Latitude","Longitude","Dataset","Alo.g.kg","Ald.g.kg","Alp.g.kg","Feo.g.kg","Fep.g.kg","Caex.cmol.kg","Silt.per","Sand.per","MAT.C","MAP.mm","Elevation.m","Replicate","Depth.cm","BD.g.cm3","L.kg","Source.qmax","Source.k"
"252","Mollisol","Paleustolls",NA,"Pullman","Btk5",1130,0.014,38.1,5,7.8,2196,40,NA,NA,34.9,-102.6,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"253","Mollisol","Paleustolls",NA,"Pullman","Btk6",1106,0.014,34.8,6,7.8,1864,40,NA,NA,34.9,-102.6,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"254","Inceptisol","Dystrudepts",NA,"Riverview","BCb",1039,0.081,23.4,7.3,3.8,1901,33,"CSiTE","Macon, AL",32.4552765,-85.6611099,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"255","Inceptisol","Dystrudepts",NA,"Riverview","Bt1b",431,0.223,21.1,5,3.9,1879,33,"CSiTE","Macon, AL",32.4552765,-85.6611099,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"256","Inceptisol","Dystrudepts",NA,"Riverview","Bt2b",463,0.307,21,5.4,3.9,2005,33,"CSiTE","Macon, AL",32.4552765,-85.6611099,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"257","Inceptisol","Dystrudepts",NA,"Riverview","Bw1",585,0.09,28.5,6,4.2,3362,33,"CSiTE","Macon, AL",32.4552765,-85.6611099,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"258","Inceptisol","Dystrudepts",NA,"Riverview","Bw2",535,0.161,23.5,5.7,4.6,2255,33,"CSiTE","Macon, AL",32.4552765,-85.6611099,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"259","Inceptisol","Dystrudepts",NA,"Riverview","C",2481,0.031,13.9,7.3,3.8,1872,33,"CSiTE","Macon, AL",32.4552765,-85.6611099,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"260","Ultisol","Fragiudults",NA,"Rockaway","B2t",737,0.148,12.6,17.3,4.1,2100,9,"SERDP","Bergen, NJ",41.0513878,-74.1613922,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"261","Alfisol","Palexeralfs",NA,"San Ysidro","B",1997,0.028,33.2,11.4,5.9,3857,69,"SERDP","Napa, CA",38.3,-122.3,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"262","Alfisol","Palexeralfs",NA,"San Ysidro",NA,1997.29152717374,0.0278508661327206,33.21,11.4,5.85,NA,NA,NA,NA,38.3,-122.3,"Feng",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,"Reported","Reported"
"263","Mollisol","Argiudolls",NA,"Sibley","B1",1691,0.051,26.9,18.7,6.4,9724,31,"SERDP","Clay, MS",39.2333679,-94.3668976,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"264","Alfisol","Paleudalfs",NA,"Susquehanna","B",1496,0.078,46.7,7.2,4,2081,34,"CSiTE","George, MS",30.9424992,-88.6844406,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"265","Alfisol","Hapludalfs",NA,"Talbott","Bt11",986,0.246,24.9,20,4.5,4220,4,"CSiTE","Williamson, TN",35.9,-86.9,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"266","Alfisol","Hapludalfs",NA,"Talbott","Bt12",1431,0.164,31.1,24,4,3109,4,"CSiTE","Williamson, TN",35.9,-86.9,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"267","Alfisol","Hapludalfs",NA,"Talbott","Bt13",2312,0.158,49.5,37,3.9,2438,4,"CSiTE","Williamson, TN",35.9,-86.9,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"268","Ultisol","Hapludults",NA,"Towaliga","Bt1",4443,0.041,33,22,4.6,2852,70,"SERDP","Butts, GA",33.3,-84,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"269","Ultisol","Hapludults",NA,"Towaliga",NA,4442.7854269127,0.0411562513474827,32.96,21.97,4.61,NA,NA,NA,NA,33.3,-84,"Feng",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,"Reported","Reported"
"270","Inceptisol","Eutrochrept","Typic",NA,"Ah1",141.785721443008,0.210406925028986,55,14.18,7.2,82000,NA,NA,NA,49.889772,11.024385,"Kaiser",1.95,NA,NA,2.51,NA,NA,NA,NA,8,700,NA,NA,"0-10",1,5,"Fitted","Fitted"
"271","Inceptisol","Eutrochrept","Typic",NA,"IIIGoP",382.820270844458,NA,53,17.94,7.5,6000,NA,NA,NA,49.889772,11.024385,"Kaiser",0.46,NA,NA,0.75,NA,NA,NA,NA,8,700,NA,NA,"66-86",1.8,5,"Fitted","Fitted"
"272","Inceptisol","Eutrochrept","Typic",NA,"IIIGorP",346.175418109283,0.167782477704509,60,19.55,7.5,6000,NA,NA,NA,49.889772,11.024385,"Kaiser",0.5,NA,NA,0.54,NA,NA,NA,NA,8,700,NA,NA,"86-120+",1.7,5,"Fitted","Fitted"
"273","Ultisol","Kandiudults",NA,"Troup","Bt1",358,0.188,10.6,8.9,4.7,1604,19,NA,NA,31.9902782,-84.4069443,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"274","Ultisol","Kandiudults",NA,"Troup","Bt3",744,0.124,15.5,5.9,4.8,1654,19,NA,NA,31.9902782,-84.4069443,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"275","Ultisol","Kandiudults",NA,"Troup","Bw1",325,0.142,9.9,3.7,4.9,1856,19,NA,NA,31.9902782,-84.4069443,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"276","Ultisol","Kandiudults",NA,"Troup","Bw2",357,0.206,10.8,3.9,4.5,1703,19,NA,NA,31.9902782,-84.4069443,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"277","Alfisol","Eutroboralf","Typic",NA,"Al",475.447271308372,0.0567122273930149,21,11.57,3.9,8000,NA,NA,NA,49.887237,11.043918,"Kaiser",2.16,NA,NA,4.06,NA,NA,NA,NA,6,850,NA,NA,"8-26",1.1,5,"Fitted","Fitted"
"278","Alfisol","Eutroboralf","Typic",NA,"SwAl",649.181491357904,0.0413092085847232,22,11.39,4.3,6000,NA,NA,NA,49.887237,11.043918,"Kaiser",1.91,NA,NA,5.15,NA,NA,NA,NA,6,850,NA,NA,"26-56",1.4,5,"Fitted","Fitted"
"279","Alfisol","Eutroboralf","Typic",NA,"IISdBt",1603.23127666194,0.0180165734299617,32,14.26,4.7,2000,NA,NA,NA,49.887237,11.043918,"Kaiser",1.52,NA,NA,5.64,NA,NA,NA,NA,6,850,NA,NA,"56-96",1.6,5,"Fitted","Fitted"
"280","Alfisol","Hapludalfs","Typic",NA,"Ah",387.190558238092,0.00440813259287249,26,12.77,4.3,60000,NA,NA,NA,49.891761,11.047308,"Kaiser",2.39,NA,NA,2.49,NA,NA,NA,NA,6,850,NA,NA,"0-5",1,5,"Fitted","Fitted"
"281","Alfisol","Hapludalfs","Typic",NA,"Al",334.104753717825,0.0167157092361238,31,14.77,3.8,16000,NA,NA,NA,49.891761,11.047308,"Kaiser",2.73,NA,NA,2.8,NA,NA,NA,NA,6,850,NA,NA,"5-13",1.2,5,"Fitted","Fitted"
"282","Alfisol","Hapludalfs","Typic",NA,"IIBtT",685.178836757866,0.0267994426270706,48,21,5,10000,NA,NA,NA,49.891761,11.047308,"Kaiser",2.81,NA,NA,2.31,NA,NA,NA,NA,6,850,NA,NA,"13-36",1.3,5,"Fitted","Fitted"
"283","Alfisol","Hapludalfs","Typic",NA,"IVTCv",896.454731949327,0.0222863921254638,39,14.9,7.5,9000,NA,NA,NA,49.891761,11.047308,"Kaiser",1.8,NA,NA,1.39,NA,NA,NA,NA,6,850,NA,NA,"61-86",1.7,5,"Fitted","Fitted"
"284","Alfisol","Hapludalfs","Typic",NA,"IVCv",354.018255898399,0.0386727747645039,22,1.39,7.7,5000,NA,NA,NA,49.891761,11.047308,"Kaiser",0.32,NA,NA,0.21,NA,NA,NA,NA,6,850,NA,NA,"86-100+",1.7,5,"Fitted","Fitted"
"285","Entisol","Udorthent","Aquic",NA,"GoCv",455.669664316158,0.0306139112035469,18,26.6,6.6,18000,NA,NA,NA,47.616001,11.648079,"Kaiser",4.1,NA,NA,2.8,NA,NA,NA,NA,5,1900,NA,NA,"4-12",1.3,5,"Fitted","Fitted"
"286","Ultisol",NA,NA,"Unclassified","E",517,0.051,14.6,7.4,4.3,4264,71,NA,NA,NA,NA,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"287","Ultisol",NA,NA,"Unclassified","B",1140,0.269,20.5,10.9,4.3,2499,71,NA,NA,NA,NA,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"288","Ultisol",NA,NA,"Unclassified","2B",2835,0.134,37.6,22.2,4.5,2372,71,NA,NA,NA,NA,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"289","Alfisol","Paleustalfs",NA,"Voca","Bt1",685,0.067,40.4,10.2,5.7,3822,28,"Lab","McCulloch, TX",30.9507618,-99.1915665,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"290","Alfisol","Paleustalfs",NA,"Voca","Bt2",3476,0.022,62.1,17.6,5.7,3726,28,"Lab","McCulloch, TX",30.9507618,-99.1915665,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"291","Alfisol","Paleustalfs",NA,"Voca","Bt3",3762,0.039,61.8,16,4.9,2890,28,"Lab","McCulloch, TX",30.9507618,-99.1915665,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"292","Alfisol","Paleustalfs",NA,"Voca","Bt4",775,0.137,26.8,13.7,4.9,1810,28,"Lab","McCulloch, TX",30.9507618,-99.1915665,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"293","Entisol","Fluvaquents",NA,"Wakeland","CG1",1702,0.039,21.1,9.2,5.8,5600,16,"SERDP","Jasper, IL",38.8791656,-88.3372192,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"294","Inceptisol","Dystrudepts",NA,"Weikert","BE",3719,0.015,23.9,23.1,4.3,20100,38,"SERDP",NA,39.9225006,-77.7555542,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"295","Ultisol","Hapludults",NA,"Westphalia","Bt1",2055,0.052,14.2,9.5,4.9,1780,72,"SERDP","Prince George's, MD",38.8,-76.8,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"296","Ultisol","Hapludults",NA,"Westphalia","Bt2",1727,0.052,12.8,6,4.9,1802,72,"SERDP","Prince George's, MD",38.8,-76.8,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"297","Alfisol","Hapludalfs",NA,"Winfield","Bt1",1680,0.076,29.5,21.5,4.4,2182,5,"CSiTE","Lincoln, MO",39.1566667,-90.7827778,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"298","Alfisol","Hapludalfs",NA,"Winfield","Bt2",1604,0.063,29.5,20.8,4.4,2003,5,"CSiTE","Lincoln, MO",39.1566667,-90.7827778,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"299","Alfisol","Hapludalfs",NA,"Winfield","Bt3",1183,0.071,42.3,26.7,4.8,1939,5,"CSiTE","Lincoln, MO",39.1566667,-90.7827778,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"300","Alfisol","Hapludalfs",NA,"Winfield","bt1",1556.49252515114,0.139852926736608,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Fitted","Fitted"
"301","Ultisol","Hapludults",NA,"Wolftever","Bt1",1860,0.035,32.9,14.9,4.3,2835,73,"Ridge","Anderson, TN",36.1,-84.2,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"302","Ultisol","Hapludults",NA,"Wolftever","Bt2",1672,0.113,32.2,15.5,4.3,2075,73,"Ridge","Anderson, TN",36.1,-84.2,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"303","Ultisol","Hapludults",NA,"Wolftever","Bt3",1447,0.059,30.9,14.6,4.6,2495,73,"Ridge","Anderson, TN",36.1,-84.2,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"304","Ultisol","Hapludults",NA,"Wolftever","Bt4",1666,0.071,30.2,15,4.4,2309,73,"Ridge","Anderson, TN",36.1,-84.2,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"305","Ultisol","Hapludults",NA,"Wolftever",NA,289.599527213522,NA,30,15,4.4,NA,73,"Ridge","Anderson, TN",36.1,-84.2,"Jagadamma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Fitted","Fitted"
"306","Alfisol","Fragiudalfs",NA,"Zanesville","BE",1802,0.04,22.5,14,4,3191,26,"NRCS","Spencer, IN",38.0115318,-86.8652496,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"307","Alfisol","Fragiudalfs",NA,"Zanesville","Bt",2652,0.079,23,23,4,2314,26,"NRCS","Spencer, IN",38.0115318,-86.8652496,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"308","Alfisol","Fragiudalfs",NA,"Zanesville","Btx",1542,0.055,19.4,18,4,1827,26,"NRCS","Spencer, IN",38.0115318,-86.8652496,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"309","Alfisol","Fragiudalfs",NA,"Zanesville","2BC1",1404,0.017,15.4,10,4.4,1819,26,"NRCS","Spencer, IN",38.0115318,-86.8652496,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"310","Alfisol","Fragiudalfs",NA,"Zanesville","2BC2",1073,0.042,17.8,37,4.6,2051,26,"NRCS","Spencer, IN",38.0115318,-86.8652496,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"311","Alfisol","Fragiudalfs",NA,"Zanesville","2BC3",1700,0.043,40,26,5.5,1856,26,"NRCS","Spencer, IN",38.0115318,-86.8652496,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"312","Alfisol","Fragiudalfs",NA,"Zanesville",NA,498.085347233191,0.0656279219585467,40,26,5.5,NA,26,"NRCS","Spencer, IN",38.0115318,-86.8652496,"Jagadamma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Fitted","Fitted"
"313","Entisol","Psammaquent","Typic",NA,"Go",3261.61404826869,0.00148381363555296,6,4.78,5.2,37000,NA,NA,NA,47.728062,11.676652,"Kaiser",2.42,NA,NA,3.05,NA,NA,NA,NA,6,1700,NA,NA,"11-27",1.1,5,"Fitted","Fitted"
"314","Entisol","Psammaquent","Typic",NA,"Gro",2505.04968853402,0.00183940087918204,10,4.07,5.7,6000,NA,NA,NA,47.728062,11.676652,"Kaiser",1.67,NA,NA,1.51,NA,NA,NA,NA,6,1700,NA,NA,"27-48",1.1,5,"Fitted","Fitted"
"315","Entisol","Udorthent","Typic",NA,"Aeh",113.378046663067,0.107178924428651,8,2.1,3.2,20000,NA,NA,NA,49.902681,10.958003,"Kaiser",0.2,NA,NA,0.4,NA,NA,NA,NA,8.5,650,NA,NA,"0-4",0.9,5,"Fitted","Fitted"
"316","Entisol","Udorthent","Typic",NA,"Bhsv",165.503214157213,0.0747848128579121,7,3,3.6,9000,NA,NA,NA,49.902681,10.958003,"Kaiser",0.4,NA,NA,1.1,NA,NA,NA,NA,8.5,650,NA,NA,"4-15",1.6,5,"Fitted","Fitted"
"317","Entisol","Udorthent","Typic",NA,"B(s)v",346.736697792884,0.0296130663718554,6,2.6,4.3,3000,NA,NA,NA,49.902681,10.958003,"Kaiser",0.7,NA,NA,0.7,NA,NA,NA,NA,8.5,650,NA,NA,"15-35",1.5,5,"Fitted","Fitted"
"318","Entisol","Udorthent","Typic",NA,"(Sw)Bv",319.990416165887,0.0208960601397352,3,2.21,4.3,1000,NA,NA,NA,49.902681,10.958003,"Kaiser",0.2,NA,NA,0.3,NA,NA,NA,NA,8.5,650,NA,NA,"35-55",1.6,5,"Fitted","Fitted"
"319","Entisol","Udorthent","Typic",NA,"IISwBv",364.830091705034,0.0316091569488434,4,4.8,4.1,1000,NA,NA,NA,49.902681,10.958003,"Kaiser",0.3,NA,NA,0.6,NA,NA,NA,NA,8.5,650,NA,NA,"55-75",1.7,5,"Fitted","Fitted"
"320","Entisol","Udorthent","Typic",NA,"IIISdCv",341.943158009929,NA,21,60.1,4.5,3000,NA,NA,NA,49.902681,10.958003,"Kaiser",1.4,NA,NA,5.6,NA,NA,NA,NA,8.5,650,NA,NA,"75-100+",1.6,5,"Fitted","Fitted"
"321","Inceptisol","Haplaquept","Aeric",NA,"Aeh",538.483582598102,0.0294392654289148,16,0.5,3,70000,NA,NA,NA,50.154851,12.186027,"Kaiser",3.95,NA,NA,0.43,NA,NA,NA,NA,6,700,NA,NA,"0-5",1.4,5,"Fitted","Fitted"
"322","Inceptisol","Haplaquept","Aeric",NA,"Sew",925.558335223783,0.0112642247256789,15,1.48,3.5,6000,NA,NA,NA,50.154851,12.186027,"Kaiser",1.05,NA,NA,1.2,NA,NA,NA,NA,6,700,NA,NA,"5-10",1.5,5,"Fitted","Fitted"
"323","Inceptisol","Haplaquept","Aeric",NA,"GoSd",1216.0530617043,NA,16,8.05,3.6,5000,NA,NA,NA,50.154851,12.186027,"Kaiser",1.78,NA,NA,4.38,NA,NA,NA,NA,6,700,NA,NA,"10-25",1.5,5,"Fitted","Fitted"
"324","Inceptisol","Haplaquept","Aeric",NA,"IIGor",884.030200677445,0.00981957169186393,4,2.05,3.7,2000,NA,NA,NA,50.154851,12.186027,"Kaiser",0.5,NA,NA,0.79,NA,NA,NA,NA,6,700,NA,NA,"50-75",1.6,5,"Fitted","Fitted"
"325","Inceptisol","Haplaquept","Aeric",NA,"IIGr",799.974017767319,0.012172149112009,3,0.45,3.9,1000,NA,NA,NA,50.154851,12.186027,"Kaiser",0.53,NA,NA,0.26,NA,NA,NA,NA,6,700,NA,NA,"75+",1.7,5,"Fitted","Fitted"
"326","Inceptisol","Dystrochrept","Oxyaquic",NA,"Aeh",74.9981648103081,0.256218549762876,4,1.38,3,13000,NA,NA,NA,49.888816,10.965956,"Kaiser",0.1,NA,NA,0.03,NA,NA,NA,NA,8,650,NA,NA,"0-5",1.2,5,"Fitted","Fitted"
"327","Inceptisol","Dystrochrept","Oxyaquic",NA,"Bsh",100.17559008313,0.258993607176199,5,2.19,3.4,7000,NA,NA,NA,49.888816,10.965956,"Kaiser",0.33,NA,NA,0.66,NA,NA,NA,NA,8,650,NA,NA,"5-15",1.4,5,"Fitted","Fitted"
"328","Inceptisol","Dystrochrept","Oxyaquic",NA,"Sw",944.009138299285,0.0138515998493938,3,1.82,4.3,1000,NA,NA,NA,49.888816,10.965956,"Kaiser",0.29,NA,NA,0.07,NA,NA,NA,NA,8,650,NA,NA,"45-75",1.5,5,"Fitted","Fitted"
"329","Inceptisol","Eutrochrept","Oxyaquic",NA,"Ah",151.719768706178,0.0841575500655804,28,24,4.2,52000,NA,NA,NA,49.889695,11.01534,"Kaiser",1.57,NA,NA,9.71,NA,NA,NA,NA,8,720,NA,NA,"0-6",1.1,5,"Fitted","Fitted"
"330","Inceptisol","Eutrochrept","Oxyaquic",NA,"SBv",243.210483571299,NA,32,25.76,3.5,15000,NA,NA,NA,49.889695,11.01534,"Kaiser",1.71,NA,NA,11.51,NA,NA,NA,NA,8,720,NA,NA,"6-24",1.2,5,"Fitted","Fitted"
"331","Inceptisol","Eutrochrept","Oxyaquic",NA,"IISd1",573.071944128605,0.0750689763215879,42,29.19,4.6,7000,NA,NA,NA,49.889695,11.01534,"Kaiser",1.2,NA,NA,12.86,NA,NA,NA,NA,8,720,NA,NA,"24-94",1.7,5,"Fitted","Fitted"
"332","Inceptisol","Eutrochrept","Oxyaquic",NA,"IIISd2",1626.99221301077,0.0160172209150775,36,27.53,5,5000,NA,NA,NA,49.889695,11.01534,"Kaiser",1.09,NA,NA,7.04,NA,NA,NA,NA,8,720,NA,NA,"94-124+",1.7,5,"Fitted","Fitted"
"333","Inceptisol","Eutrochrept","Oxyaquic",NA,"TSw",1001.93364610137,0.124574293109532,67,33.8,5,28000,NA,NA,NA,47.617802,11.648732,"Kaiser",9.8,NA,NA,3.4,NA,NA,NA,NA,5,1900,NA,NA,"16-29",1.3,5,"Fitted","Fitted"
"334","Inceptisol","Eutrochrept","Oxyaquic",NA,"TCv",10273.8061418576,0.00115383949905584,51,9.9,6.1,10000,NA,NA,NA,47.617802,11.648732,"Kaiser",2.1,NA,NA,1.6,NA,NA,NA,NA,5,1900,NA,NA,"44-58",1.6,5,"Fitted","Fitted"
"335","Inceptisol","Haplumbrept","Oxyaquic",NA,"OhAh",30.3635600827675,NA,8,1.27,2.9,77000,NA,NA,NA,49.888348,10.963878,"Kaiser",1.21,NA,NA,1.1,NA,NA,NA,NA,8,650,NA,NA,"0-28",0.7,5,"Fitted","Fitted"
"336","Inceptisol","Haplumbrept","Oxyaquic",NA,"SwAh",118.898155516414,0.0891653764986071,5,0.11,3.4,5000,NA,NA,NA,49.888348,10.963878,"Kaiser",0.39,NA,NA,0.02,NA,NA,NA,NA,8,650,NA,NA,"28-45",1.1,5,"Fitted","Fitted"
"337","Inceptisol","Haplumbrept","Oxyaquic",NA,"Sw",338.128295313889,0.0190912985413682,6,0.21,3.9,1000,NA,NA,NA,49.888348,10.963878,"Kaiser",0.28,NA,NA,0.2,NA,NA,NA,NA,8,650,NA,NA,"45-60",1.4,5,"Fitted","Fitted"
"338","Inceptisol","Haplumbrept","Oxyaquic",NA,"IISd",361.617360707688,0.0371434755156425,12,0.42,4,1000,NA,NA,NA,49.888348,10.963878,"Kaiser",0.46,NA,NA,0.35,NA,NA,NA,NA,8,650,NA,NA,"60-80+",1.5,5,"Fitted","Fitted"
"339","Inceptisol","Haplumbrept","Oxyaquic",NA,"Sew",538.872144470603,0.0289897529420163,18,7.88,3.8,7000,NA,NA,NA,49.875061,10.986422,"Kaiser",1.15,NA,NA,4.85,NA,NA,NA,NA,8,650,NA,NA,"5-21",1.3,5,"Fitted","Fitted"
"340","Inceptisol","Haplumbrept","Oxyaquic",NA,"IISd",322.565702963445,0.603278672614913,35,12.67,3.9,3000,NA,NA,NA,49.875061,10.986422,"Kaiser",1.26,NA,NA,2.74,NA,NA,NA,NA,8,650,NA,NA,"21-50",1.7,5,"Fitted","Fitted"
"341","Inceptisol","Haplumbrept","Oxyaquic",NA,"IIISd",387.943354990035,0.312994161216355,59,20.44,4.2,3000,NA,NA,NA,49.875061,10.986422,"Kaiser",1.68,NA,NA,4.87,NA,NA,NA,NA,8,650,NA,NA,"50-100+",1.9,5,"Fitted","Fitted"
"342","Inceptisol","Haplumbrept","Psammentic",NA,"A(e)h",125.884813764834,NA,3,16.79,3.3,23000,NA,NA,NA,49.89119,11.032706,"Kaiser",0.25,NA,NA,0.62,NA,NA,NA,NA,7,750,NA,NA,"0-12",0.9,5,"Fitted","Fitted"
"343","Inceptisol","Haplumbrept","Psammentic",NA,"Bv",338.66819583146,0.0435205798788099,7,17.72,3.7,5000,NA,NA,NA,49.89119,11.032706,"Kaiser",0.62,NA,NA,0.92,NA,NA,NA,NA,7,750,NA,NA,"12-50",1.2,5,"Fitted","Fitted"
"344","Inceptisol","Eutrochrept","Rendollic",NA,"Ah",191.748922931588,0.00282351068109291,52,23,6.8,112000,NA,NA,NA,47.611144,11.678703,"Kaiser",2.71,NA,NA,3.84,NA,NA,NA,NA,5,1900,NA,NA,"0-13",0.9,5,"Fitted","Fitted"
"345","Inceptisol","Eutrochrept","Rendollic",NA,"Bv",2526.65837519694,0.00494035668539182,68,27.36,6.4,25000,NA,NA,NA,47.611144,11.678703,"Kaiser",2.91,NA,NA,5.23,NA,NA,NA,NA,5,1900,NA,NA,"13-24",1.1,5,"Fitted","Fitted"
"346","Inceptisol","Eutrochrept","Rendollic",NA,"Ah",1470.73425243656,0.00153220680398256,54,13,6.8,76000,NA,NA,NA,49.966607,11.645182,"Kaiser",2.7,NA,NA,2.3,NA,NA,NA,NA,8.5,950,NA,NA,"0-10",1,5,"Fitted","Fitted"
"347","Inceptisol","Eutrochrept","Rendollic",NA,"BvT",344.685368287014,0.0760641040515291,58,15.5,7,23000,NA,NA,NA,49.966607,11.645182,"Kaiser",3.1,NA,NA,2.7,NA,NA,NA,NA,8.5,950,NA,NA,"10-22",1.2,5,"Fitted","Fitted"
"348","Inceptisol","Eutrochrept","Rendollic",NA,"Cv",535.658458785725,0.0546070856134021,56,10.9,7,11000,NA,NA,NA,49.966607,11.645182,"Kaiser",1.5,NA,NA,1.6,NA,NA,NA,NA,8.5,950,NA,NA,"22-44",1.3,5,"Fitted","Fitted"
